____________________
Thu Sep 29 13:20:42 2016
ixyu,I,ix,eu,ya,
du,you,du,tu,ti,
ealin,he,ea,eli,on,
vianoc,we,via,noc,mi,
vac,youall,ia,voc,vi,
elizini,they,zi,elic,oni,
distu,this,dis,ictu,to,
daskiltam,that,das,akilu,tamto,
hiakitu,here,hia,aki,tu,
dam,there,da,ai,tam,
veakaykto,who,vea,kay,kto,
vaskitso,what,vas,ki,tso,
vodigdje,where,vo,odi,gdje,
vankwadked,when,van,kwadu,kedi,
viyakom,how,vi,komu,yak,
nixnaw,not,nixt,naw,ne,
latodfcis,all,ala,todu,fcistko,
filmuyduj,many,fila,muytu,dujo,
aynigilguc,some,ayniga,alguc,kilka,
venawpok,few,venix,poku,mawo,
andartruni,other,andara,otru,ini,
yed,one,ayns,u,yeden,
tsvaydoidva,two,tsvay,doic,dva,
draytrectci,three,dray,trec,tci,
fiakwatcter,four,fia,kwatru,tcteri,
finsikpyen,five,finf,siku,pyentc,
grosgradvyel,big,gros,gradi,vyelci,
lanlogdwug,long,lan,logu,dwugi,
braycelar,wide,brayt,largu,ceroki,
dikewcpes,thick,dik,icpesu,gewsti,
____________________
