yun,use (Chi)
ca,be (Chi)
hwod,get (Chi)
yaw,want (Chi)
djidzaw,make (Chi)
yuyen,language (Chi)
tonywentca,cognate (Chi)
hwo,or (Chi)
daw,to (Chi)
cwe,learn (Chi)
dyenaw,computer (Chi)
dzwo,do (Chi)
nan,able (Chi)
donci,thing (Chi)
bici,must (Chi)
tci,go (Chi)
cadjyen,time (Chi)
difan,place (Chi)
panyo,friend (Chi)
yo,have (Chi)
tsa,word (Chi)
kway,piece (Chi)
wecanma,why (Chi)
nihaw,hi (Chi)
dzaydjyen,bye (Chi)
lyow,six (Chi)
tci,seven (Chi)
ba,eight (Chi)
djyow,nine (Chi)
ca,ten (Chi)
lin,zero (Chi)
wo,i (Chi)
ni,you (Chi)
ta,he (Chi)
woman,we (Chi)
niman,youall (Chi)
taman,they (Chi)
dje,this (Chi)
na,that (Chi)
djeli,here (Chi)
nali,there (Chi)
cey,who (Chi)
canma,what (Chi)
nali,where (Chi)
canmacho,when (Chi)
dzanma,how (Chi)
bu,not (Chi)
swoyo,all (Chi)
dwo,many (Chi)
djiga,some (Chi)
caw,few (Chi)
tcita,other (Chi)
yi,one (Chi)
ar,two (Chi)
san,three (Chi)
sa,four (Chi)
wu,five (Chi)
da,big (Chi)
tcan,long (Chi)
kwan,wide (Chi)
how,thick (Chi)
djun,heavy (Chi)
cyaw,small (Chi)
dwan,short (Chi)
djay,narrow (Chi)
baw,thin (Chi)
niran,woman (Chi)
nanran,man (Chi)
ran,human (Chi)
haydza,child (Chi)
lawpo,wife (Chi)
lawgon,husband (Chi)
mama,mother (Chi)
baba,father (Chi)
dunwu,animal (Chi)
yi,fish (Chi)
nyaw,bird (Chi)
go,dog (Chi)
ca,louse (Chi)
ca,snake (Chi)
tcyoyin,worm (Chi)
cu,tree (Chi)
sanlin,forest (Chi)
cudja,stick (Chi)
cweygwo,fruit (Chi)
djundza,seed (Chi)
ye,leaf (Chi)
gan,root (Chi)
cupi,bark (Chi)
hwa,flower (Chi)
tsaw,grass (Chi)
can,rope (Chi)
pi,skin (Chi)
row,meat (Chi)
cye,blood (Chi)
gu,bone (Chi)
djifan,fat (Chi)
dan,egg (Chi)
djyaw,horn (Chi)
wey,tail (Chi)
yimaw,feather (Chi)
tofa,hair (Chi)
tow,head (Chi)
ardwo,ear (Chi)
yendjin,eye (Chi)
bi,nose (Chi)
dzwe,mouth (Chi)
yatci,tooth (Chi)
ca,tongue (Chi)
djidjya,fingernail (Chi)
djyaw,foot (Chi)
twe,leg (Chi)
ci,knee (Chi)
cow,hand (Chi)
tciban,wing (Chi)
dudza,belly (Chi)
tcandza,guts (Chi)
bodza,neck (Chi)
bey,back (Chi)
cyonbu,breast (Chi)
cindzan,heart (Chi)
gan,liver (Chi)
ha,drink (Chi)
tca,eat (Chi)
yaw,bite (Chi)
tcwo,suck (Chi)
tu,spit (Chi)
tu,vomit (Chi)
tcwe,blow (Chi)
huci,breathe (Chi)
cyaw,laugh (Chi)
kan,see (Chi)
tin,hear (Chi)
djidaw,know (Chi)
cyan,think (Chi)
wan,smell (Chi)
pa,fear (Chi)
cwey,sleep (Chi)
hwo,live (Chi)
sa,die (Chi)
ca,kill (Chi)
dadjya,fight (Chi)
dalye,hunt (Chi)
da,hit (Chi)
tcye,cut (Chi)
fankay,split (Chi)
tsa,stab (Chi)
djwa,scratch (Chi)
wa,dig (Chi)
yoyon,swim (Chi)
fey,fly (Chi)
dzow,walk (Chi)
lay,come (Chi)
tan,liedown (Chi)
dzwo,sit (Chi)
djan,stand (Chi)
djwan,turn (Chi)
lwocya,fall (Chi)
gey,give (Chi)
na,hold (Chi)
dji,squeeze (Chi)
row,rub (Chi)
ci,wash (Chi)
tsa,wipe (Chi)
la,pull (Chi)
twey,push (Chi)
ran,throw (Chi)
ban,tie (Chi)
fan,sew (Chi)
cu,count (Chi)
cwo,say (Chi)
tcan,sing (Chi)
wan,play (Chi)
fu,float (Chi)
lyo,flow (Chi)
dondjye,freeze (Chi)
pondjan,swell (Chi)
tayan,sun (Chi)
yelyan,moon (Chi)
cin,star (Chi)
cwey,water (Chi)
yi,rain (Chi)
ha,river (Chi)
hu,lake (Chi)
hay,sea (Chi)
yen,salt (Chi)
ca,stone (Chi)
ca,sand (Chi)
tcantu,dust (Chi)
ditcyow,earth (Chi)
yin,cloud (Chi)
wu,fog (Chi)
tyen,sky (Chi)
fon,wind (Chi)
cye,snow (Chi)
bin,ice (Chi)
yen,smoke (Chi)
hwo,fire (Chi)
hweydjin,ashes (Chi)
caw,burn (Chi)
lu,road (Chi)
can,mountain (Chi)
hun,red (Chi)
li,green (Chi)
hwan,yellow (Chi)
bay,white (Chi)
hey,black (Chi)
yewan,night (Chi)
baytyen,day (Chi)
nyen,year (Chi)
wanwan,warm (Chi)
lan,cold (Chi)
man,full (Chi)
cin,new (Chi)
law,old (Chi)
haw,good (Chi)
hway,bad (Chi)
lan,rotten (Chi)
dzan,dirty (Chi)
dja,straight (Chi)
yen,round (Chi)
li,sharp (Chi)
dun,dull (Chi)
gwanhwa,smooth (Chi)
ca,wet (Chi)
gan,dry (Chi)
dwe,correct (Chi)
djin,near (Chi)
yen,far (Chi)
