usa,use (Spa)
esta,be (Spa)
konsegi,get (Spa)
kere,want (Spa)
ase,make (Spa)
lengwa,language (Spa)
kognado,cognate (Spa)
o,or (Spa)
a,to (Spa)
aprende,learn (Spa)
komputador,computer (Spa)
ase,do (Spa)
pode,able (Spa)
kosa,thing (Spa)
debe,must (Spa)
va,go (Spa)
tyempo,time (Spa)
lugar,place (Spa)
amigo,friend (Spa)
tene,have (Spa)
palabra,word (Spa)
pedazo,piece (Spa)
porke,why (Spa)
ola,hi (Spa)
adyos,bye (Spa)
seis,six (Spa)
syete,seven (Spa)
otco,eight (Spa)
nweve,nine (Spa)
dyes,ten (Spa)
sero,zero (Spa)
yo,i (Spa)
tu,you (Spa)
el,he (Spa)
nosotros,we (Spa)
vosotros,youall (Spa)
eyos,they (Spa)
este,this (Spa)
ese,that (Spa)
aki,here (Spa)
ai,there (Spa)
kyen,who (Spa)
ke,what (Spa)
donde,where (Spa)
kwando,when (Spa)
komo,how (Spa)
no,not (Spa)
todo,all (Spa)
mutcos,many (Spa)
algunos,some (Spa)
poko,few (Spa)
otro,other (Spa)
uno,one (Spa)
dos,two (Spa)
tres,three (Spa)
kwatro,four (Spa)
sinko,five (Spa)
grande,big (Spa)
largo,long (Spa)
antco,wide (Spa)
grweso,thick (Spa)
pesado,heavy (Spa)
pekenyo,small (Spa)
korto,short (Spa)
estretco,narrow (Spa)
delgado,thin (Spa)
muher,woman (Spa)
ombre,man (Spa)
ombre,human (Spa)
ninyo,child (Spa)
muher,wife (Spa)
marido,husband (Spa)
madre,mother (Spa)
padre,father (Spa)
animal,animal (Spa)
pez,fish (Spa)
paharo,bird (Spa)
pero,dog (Spa)
pyoho,louse (Spa)
serpyente,snake (Spa)
gusano,worm (Spa)
arbol,tree (Spa)
boske,forest (Spa)
palo,stick (Spa)
fruta,fruit (Spa)
semiya,seed (Spa)
oha,leaf (Spa)
rais,root (Spa)
kortesa,bark (Spa)
flor,flower (Spa)
herba,grass (Spa)
kwerda,rope (Spa)
pyel,skin (Spa)
karne,meat (Spa)
sangre,blood (Spa)
weso,bone (Spa)
grasa,fat (Spa)
wevo,egg (Spa)
kwerno,horn (Spa)
kola,tail (Spa)
pluma,feather (Spa)
kabeyo,hair (Spa)
kabesa,head (Spa)
oreha,ear (Spa)
oho,eye (Spa)
naris,nose (Spa)
boka,mouth (Spa)
dyente,tooth (Spa)
lengwa,tongue (Spa)
unya,fingernail (Spa)
pye,foot (Spa)
pyerna,leg (Spa)
rodiya,knee (Spa)
mano,hand (Spa)
ala,wing (Spa)
bariga,belly (Spa)
tripas,guts (Spa)
kweyo,neck (Spa)
espalda,back (Spa)
petco,breast (Spa)
korason,heart (Spa)
igado,liver (Spa)
bebe,drink (Spa)
kome,eat (Spa)
morde,bite (Spa)
tcupa,suck (Spa)
eskupi,spit (Spa)
vomita,vomit (Spa)
sopla,blow (Spa)
respira,breathe (Spa)
rei,laugh (Spa)
ve,see (Spa)
oy,hear (Spa)
sabe,know (Spa)
pensa,think (Spa)
ole,smell (Spa)
teme,fear (Spa)
dormi,sleep (Spa)
vivi,live (Spa)
mori,die (Spa)
mata,kill (Spa)
pelea,fight (Spa)
kaza,hunt (Spa)
golpea,hit (Spa)
korta,cut (Spa)
parti,split (Spa)
apunyala,stab (Spa)
raska,scratch (Spa)
kava,dig (Spa)
nada,swim (Spa)
bola,fly (Spa)
kamina,walk (Spa)
veni,come (Spa)
yase,liedown (Spa)
senta,sit (Spa)
levanta,stand (Spa)
hira,turn (Spa)
kae,fall (Spa)
da,give (Spa)
tene,hold (Spa)
apreta,squeeze (Spa)
frota,rub (Spa)
lava,wash (Spa)
limpya,wipe (Spa)
hala,pull (Spa)
empuha,push (Spa)
tira,throw (Spa)
ata,tie (Spa)
kose,sew (Spa)
konta,count (Spa)
desi,say (Spa)
kanta,sing (Spa)
huga,play (Spa)
flota,float (Spa)
flui,flow (Spa)
ela,freeze (Spa)
intca,swell (Spa)
sol,sun (Spa)
luna,moon (Spa)
estreya,star (Spa)
agwa,water (Spa)
yuvya,rain (Spa)
rio,river (Spa)
lago,lake (Spa)
mar,sea (Spa)
sal,salt (Spa)
pyedra,stone (Spa)
arena,sand (Spa)
polvo,dust (Spa)
tyera,earth (Spa)
nube,cloud (Spa)
nyebla,fog (Spa)
syelo,sky (Spa)
vyento,wind (Spa)
nyebe,snow (Spa)
yelo,ice (Spa)
umo,smoke (Spa)
fwego,fire (Spa)
senisas,ashes (Spa)
kema,burn (Spa)
kamino,road (Spa)
montanya,mountain (Spa)
roho,red (Spa)
verde,green (Spa)
amariyo,yellow (Spa)
blanko,white (Spa)
negro,black (Spa)
notce,night (Spa)
dia,day (Spa)
anyo,year (Spa)
kalido,warm (Spa)
frio,cold (Spa)
yeno,full (Spa)
nwevo,new (Spa)
vyeho,old (Spa)
bweno,good (Spa)
malo,bad (Spa)
podrido,rotten (Spa)
susyo,dirty (Spa)
rekto,straight (Spa)
redondo,round (Spa)
agudo,sharp (Spa)
embotado,dull (Spa)
liso,smooth (Spa)
mohado,wet (Spa)
seko,dry (Spa)
korekto,correct (Spa)
serka,near (Spa)
lehos,far (Spa)
deretca,right (Spa)
iskyerda,left (Spa)
a,at (Spa)
en,in (Spa)
kon,with (Spa)
i,and (Spa)
si,if (Spa)
porke,because (Spa)
antes,before (Spa)
despwes,after (Spa)
ensima,above (Spa)
baho,below (Spa)
de,from (Spa)
de,of (Spa)
pero,but (Spa)
nombre,name (Spa)
eya,she (Spa)
kotce,car (Spa)
banyo,washroom (Spa)
numero,number (Spa)
kasa,house (Spa)
ogar,home (Spa)
nase,born (Spa)
kura,heal (Spa)
rompe,break (Spa)
konstrui,build (Spa)
yora,weep (Spa)
lamenta,mourn (Spa)
bayla,dance (Spa)
hunta,gather (Spa)
abrasa,hug (Spa)
abstene,refrain (Spa)
perde,lose (Spa)
garda,keep (Spa)
rasga,tear (Spa)
ama,love (Spa)
odya,hate (Spa)
planta,toplant (Spa)
silensyo,silence (Spa)
gera,war (Spa)
pas,peace (Spa)
planta,plant (Spa)
si,yes (Spa)
no,no (Spa)
papel,paper (Spa)
telefono,telephone (Spa)
persona,person (Spa)
kama,bed (Spa)
ventana,window (Spa)
estanteria,shelf (Spa)
eskritorio,desk (Spa)
deberia,should (Spa)
nesesita,need (Spa)
piso,floor (Spa)
espeho,mirror (Spa)
fregadero,sink (Spa)
mizmo,same (Spa)
grasyas,thankyou (Spa)
senti,feel (Spa)
mas,more (Spa)
menos,less (Spa)
trata,try (Spa)
solo,only (Spa)
fasil,easy (Spa)
libro,book (Spa)
diferente,different (Spa)
le,read (Spa)
kambya,change (Spa)
eramyenta,tool (Spa)
entende,understand (Spa)
eskribi,write (Spa)
sirculo,circle (Spa)
pwerta,door (Spa)
lus,light (Spa)
sonido,sound (Spa)
mesa,table (Spa)
kwadro,square (Spa)
triangulo,triangle (Spa)
komida,food (Spa)
favor,please (Spa)
losyento,sorry (Spa)
gusta,like (Spa)
rapidamente,fast (Spa)
lado,beside (Spa)
fwerte,strong (Spa)
espera,wait (Spa)
lo,the (Spa)
kompra,buy (Spa)
asul,blue (Spa)
grupo,group (Spa)
ropa,clothes (Spa)
dinero,money (Spa)
oyo,hole (Spa)
tonto,silly (Spa)
termina,finish (Spa)
dibuha,draw (Spa)
tradusi,translate (Spa)
syento,hundred (Spa)
mil,thousand (Spa)
bende,sell (Spa)
anyadi,add (Spa)
kita,remove (Spa)
imahen,picture (Spa)
dutca,shower (Spa)
alfombra,carpet (Spa)
kahon,drawer (Spa)
armaryo,closet (Spa)
oy,today (Spa)
ayer,yesterday (Spa)
manyana,tomorrow (Spa)
ermano,sibling (Spa)
padre,parent (Spa)
kamara,camera (Spa)
kosina,cook (Spa)
yeva,wear (Spa)
kwanto,howmuch (Spa)
aora,now (Spa)
gusta,taste (Spa)
toka,touch (Spa)
demasyado,too (Spa)
tambyen,also (Spa)
norte,north (Spa)
sur,south (Spa)
este,east (Spa)
oeste,west (Spa)
adelante,forward (Spa)
atras,backward (Spa)
letce,milk (Spa)
poyo,chicken (Spa)
gato,cat (Spa)
fwerte,loud (Spa)
tyempo,weather (Spa)
koreo,email (Spa)
internet,internet (Spa)
tasa,cup (Spa)
plato,plate (Spa)
bol,bowl (Spa)
tenedor,fork (Spa)
kutcara,spoon (Spa)
paliyo,chopstick (Spa)
ke,than (Spa)
denwevo,again (Spa)
ke,thats (Spa)
mas,most (Spa)
problema,problem (Spa)
solusyon,solution (Spa)
pregunta,ask (Spa)
responde,answer (Spa)
asike,so (Spa)
ayuda,help (Spa)
rekwerda,remember (Spa)
siya,chair (Spa)
estos,these (Spa)
esos,those (Spa)
berdad,? (Spa)
buska,search (Spa)
