____________________
Wed Sep 14 14:45:50 2016
akunamwat,I,aku,na,mimi,watakuci,
enkawewnot,you,enkaw,no,wewe,anata,
diayeygur,he,dia,gu,yeye,kare,
kitrisiswat,we,kita,uri,sisi,watacitatci,
kamohninat,youall,kamu,nohi,ninyi,anatatatci,
mergudwaokar,they,mereka,gudul,wao,karera,
inihikor,this,ini,i,hi,kore,
itugule,that,itu,gu,le,are,
sinyogokhap,here,sini,yogi,hapa,koko,
sitpalsogog,there,situ,gogi,pale,soko,
siananugdar,who,siapa,nugu,nani,dare,
apanimwot,what,apa,mwot,nini,nani,
manwapdik,where,mana,odi,wapi,doko,
bilindje,when,bila,ondje,lini,itsu,
otokvibagag,how,bagaimana,otoke,vipi,ikaga,
tidsinii,not,tidak,ani,si,nai,
semodesub,all,semua,modu,ote,subete,
banangi,many,banyak,man,ingi,oi,
bebatonsuk,some,beberapa,oton,badi,sukoci,
sedcogid,few,sedikit,tcogum,kidogo,sukunai,
dalainginhok,other,lain,daru,ingine,hoka,
sathanodhit,one,satu,hana,modja,hitotsu,
mbilfudul,two,dua,dul,mbili,futatsu,
setigmitat,three,tiga,set,tatu,mitsu,
empatnetyot,four,empat,net,ne,yotsu,
limtantsudas,five,lima,dasot,tano,itsutsu,
okubes,big,besar,ku,kubwa,oki,
panagilef,long,pandjan,gil,refu,nagai,
nolebanhir,wide,lebar,nol,pana,hiroi,
tebduknentsui,thick,tebal,dukop,nene,atsui,
bermugzitmoi,heavy,berat,mugop,zito,omoi,
doketjaktcis,small,ketcil,djak,dogo,tcisai,
fupenidjal,short,pendek,djal,fupi,midjikai,
sembamdjop,narrow,sempit,djop,embamba,semai,
yalnaniphos,thin,nipis,yal,anana,hosoi,
peryodmwana,woman,perempuan,yodja,mwanamke,ona,
lelnamwantok,man,lelaki,namdja,mwanamume,otoko,
sarantuhit,human,oran,saram,mtu,hito,
____________________
