osoba,person
jetc,thing
myeystse,place
tcas,time
htce,want
povin,should
muce,must
moj,able
potceb,need
lustro,mirror
zlef,sink
wucko,bed
okno,window
puwka,shelf
byurko,desk
podwoga,floor
ya,I
ti,you
on,he
mi,we
vi,youall
oni,they
to,this
tamto,that
tu,here
tam,there
kto,who
tso,what
gdje,where
kedi,when
yak,how
ne,not
fcistko,all
dujo,many
kilka,some
mawo,few
ini,other
yeden,one
dva,two
tci,three
tcteri,four
pyentc,five
vyelci,big
dwugi,long
ceroki,wide
gewsti,thick
tcewcki,heavy
mawi,small
krutki,short
vowski,narrow
tcenki,thin
kobyeta,woman
mewctcizna,man
tcwovyek,human
djetsko,child
jona,wife
mowc,husband
matka,mother
oytcets,father
zvyeje,animal
riba,fish
ptak,bird
pyes,dog
vec,louse
vowc,snake
robak,worm
djevo,tree
las,forest
kiy,stick
ovots,fruit
jarno,seed
lictc,leaf
kojen,root
kora,bark
kfyat,flower
trava,grass
cnur,rope
skura,skin
myewso,meat
kref,blood
koctc,bone
twuctc,fat
yayko,egg
ruk,horn
ogon,tail
pyuro,feather
vwos,hair
gwova,head
uho,ear
oko,eye
nos,nose
usta,mouth
zomp,tooth
yewzik,tongue
paznoketc,fingernail
stopa,foot
noga,leg
kolano,knee
renka,hand
skcidwo,wing
bjuh,belly
vnentcnoctci,guts
ciya,neck
pletsi,back
pyerc,breast
sertse,heart
vontroba,liver
pi,drink
ye,eat
gric,bite
sa,suck
plu,spit
vimyoto,vomit
dmuha,blow
odiha,breathe
cmya,laugh
vidje,see
swice,hear
vye,know
micle,think
tcu,smell
ba,fear
spa,sleep
ji,live
umyera,die
zabi,kill
valtc,fight
polo,hunt
udeja,hit
tcon,cut
romb,split
djga,stab
drap,scratch
kop,dig
pwiva,swim
lata,fly
id,walk
pcihodj,come
lej,lie
cedj,sit
sta,stand
obrats,turn
pada,fall
da,give
tcima,hold
ctcisk,squeeze
tce,rub
mi,wash
vitcer,wipe
tcongno,pull
pha,push
jutsa,throw
vyowz,tie
ci,sew
litc,count
muv,say
cpyev,sing
gra,play
pwiv,float
pwin,flow
mroj,freeze
pentcne,swell
swontse,sun
kcewjits,moon
gvyazda,star
voda,water
dectc,rain
jeka,river
yejoro,lake
moje,sea
sul,salt
kamyen,stone
pyasek,sand
kuc,dust
jemya,earth
hmura,cloud
mgwa,fog
nebo,sky
vyatr,wind
cnek,snow
lut,ice
dim,smoke
ogen,fire
popyuw,ash
pali,burn
droga,road
gura,mountain
tcervoni,red
jeloni,green
juwti,yellow
byawi,white
tcarni,black
nots,night
djen,day
rok,year
tcepwi,warm
jimni,cold
pewni,full
novi,new
stari,old
dobri,good
zwi,bad
