perantusar	person
benkidinul	thing
ortemtcanpah	place
tsaymasigwak	time
volbilwamah	want
zolazpatwe	should
mishalaz	must
kendapwesui	able
brawperhit	need
cpigoufit	mirror
vacinkaz	sink
betcimkat	bed
fentintcandir	window
regsonraf	shelf
craymedcekdaw	desk
bodlansak	floor
ihkunam	I
dunkawewno	you
diaguyey	he
viakitrisis	we
kamohnin	youall
zimergudwao	they
disnihi	this
idasgule	that
hiasinyoghap	here
sidagogpal	there
veasiananug	who
vaspanimwot	what
vomandiwap	where
vandjebilin	when
otokvibag	how
anihtidsi	not
lasemode	all
filbanangi	many
aynigbebaton	some
vensedcogid	few
ingindarai	other
sathaynod	one
tsvayduadulmbil	two
sedraytatig	three
fiampatnet	four
finlimdastan	five
groskubes	big
pangilanref	long
panolebray	wide
diktebnen	thick
cveabermugzit	heavy
ketjakdoklay	small
kurdjalfupen	short
senbamdjop	narrow
dinipyalnan	thin
frawperyodmwan	woman
manwanlel	man
saramentu	human
kinakrintot	child
frawsternemke	wife
mansua	husband
ibumomut	mother
fatbapod	father
tiabinnyamdjim	animal
ficamkanul	fish
fogbursendeg	bird
hundjinbwage	dog
lawkutcaw	louse
clanyoklarbem	snake
vurtcatbolfun	worm
bawpoknamti	tree
valhutsupmsit	forest
ctokbatfimak	stick
fruhbuayoltun	fruit
zambegben	seed
iblataudjan	leaf
vurkarpurmziz	root
kurinkopgam	bark
blumbunkot	flower
graspurumyas	grass
zaybatalkam	rope
hawkulngosal	skin
flaydagsalnyam	meat
blutarpidam	blood
knohtulmfupyo	bone
fetgilemor	fat
telyai	egg
hortanpulpem	horn
cvankiakor	tail
fedbulgitnyoy	feather
hatoramywel	hair
kopmorkit	head
talsigwi	ear
wganumatjit	eye
nazhidkopua	nose
ipkimunul	mouth
tsangig	tooth
litsunhyolim	tongue
finkukutson	fingernail
fuskakbalmguu	foot
baykakdarmguu	leg
knilutgot	knee
hankontanson	hand
fligsaynalbaw	wing
bawpertum	belly
