____________________
Tue Aug  2 10:14:49 2016
wonayo,I,wo,ana,yo,me,ya,
enitam,you,ni,enta,tu,tum,ti,
talvahowaon,he,ta,howa,el,vah,on,
wminosotroseham,we,woman,ehna,nosotros,ham,mi,
nimanentovistrsap,you all,niman,ento,vosotros,ap,vi,
tamanhomaeyosveni,they,taman,homa,eyos,ve,oni,
esdacyaheto,this,tce,da,este,yah,eto,
nadawatesevah,that,na,dawat,ese,vah,to,
akiyahanzdesl,here,tceli,hena,aki,yaha,zdes,
aivahanktanali,there,nali,henak,ai,vaha,tam,
huskipeblapatc,test,patc,huski,lap,pebl,bob,this is for testing word overlapping
yunusatemalpotrebi,test2,yun,istemal,usa,istemal,potrebi,
anitam,test3,ni,anta,tu,tum,ti,
antum,testManual,ni,anta,tu,tum,ti,I added this line to compare my “manual” version
yunusatemalpotrebi,use,yun,istemal,usa,istemal,potrebi,
yunsatempot,use,yun,istemal,usa,istemal,potrebi,
yunstemp,use,yun,istemal,usa,istemal,potrebi,
yunstempot,use,yun,istemal,usa,istemal,potrebi,
yunstempo,use,yun,istemal,usa,istemal,potrebi,
estazyhokanabi,be,dzay,esta,ho,kana,bi,
zasthokab,be,dzay,esta,ho,kana,bi,
abcd,be,dzay,esta,ho,kana,bi,
zas,be,dzay,esta,ho,kana,bi,
zast,be,dzay,esta,ho,kana,bi,
dzay,be,dzay,esta,ho,kana,bi,
dzas,be,dzay,esta,ho,kana,bi,
dzaskan,be,dzay,esta,ho,kana,bi,
dzastkab,be,dzay,esta,ho,kana,bi,
dzast,be,dzay,esta,ho,kana,bi,
____________________
