dzaystahokanbi,be,dzay,esta,ho,kana,bi,
hwodostalkonpa,get,hwod,konsegi,pa,istalama,dostava,
yawizkertcahot,want,yaw,kere,tcah,awiz,hote,
djidelbansan,make,djidzaw,ase,bana,sana,dela,
yuyazlenbhaclog,language,yuyen,lengwa,bhaca,loga,yazik,
tonkogartmiy,cognate,tonywentca,kognado,atmiy,qarib,kognat,
woyome,I,wo,yo,me,ana,ya,
entuni,you,ni,tu,tum,enta,ti,
talvahown,he,ta,el,vah,howa,on,
womoshamhna,we,woman,nosotros,ham,ehna,mi,
nimtovosp,you all,niman,vosotros,ap,ento,vi,
tamiyosvehom,they,taman,eyos,ve,homa,oni,
tcesteyah,this,tce,este,yah,da,eto,
nasevahdaw,that,na,ese,vah,dawat,to,
tcelkiyahenzdes,here,tceli,aki,yaha,hena,zdes,
vihentanal,there,nali,ai,vaha,henak,tam,
ceykyeninkonkto,who,cey,kyen,kon,min,kto,
cankekyahcto,what,canma,ke,kya,eh,cto,
kahfengdonal,where,nali,donde,kaha,fen,gde,
cantakabkokwan,when,canmacho,kwando,kab,emta,kogda,
dzankesaykakom,how,dzanma,komo,kesa,ezay,kak,
bunohmec,not,bu,no,nahi,mec,ne,
swoytodkolvsab,all,swoyo,todo,sab,kol,vse,
mudwobahmnoket,many,dwo,mutcos,bahut,ketir,mnogi,
djigutlgunecow,some,djiga,algunos,kutc,cowaya,neskalka,
cawpokolthornim,few,caw,poko,thora,qolayel,nimnogi,
cavedekan,see,kan,ve,dekh,caf,vide,
tinoyslisun,hear,ting,oy,sun,seme,slica,
djidjansabrefzna,know,djidaw,sabe,djan,eref,zna,
cyanpensotfakdum,think,cyang,pensa,sotc,etfakar,duma,
