yun,use
ca,be
hwod,get
yaw,want
djidzaw,make
yuyen,language
tonywentca,cognate
hwo,or
daw,to
cwe,learn
dyenaw,computer
dzwo,do
nan,able
donci,thing
bici,must
tci,go
cadjyen,time
difan,place
panyo,friend
yo,have
tsa,word
kway,piece
wecanma,why
nihaw,hi
dzaydjyen,bye
lyow,six
tci,seven
ba,eight
djyow,nine
ca,ten
lin,zero
wo,i
ni,you
ta,he
woman,we
niman,youall
taman,they
dje,this
na,that
djeli,here
nali,there
cey,who
canma,what
nali,where
canmacho,when
dzanma,how
bu,not
swoyo,all
dwo,many
djiga,some
caw,few
tcita,other
yi,one
ar,two
san,three
sa,four
wu,five
da,big
tcan,long
kwan,wide
how,thick
djun,heavy
cyaw,small
dwan,short
djay,narrow
baw,thin
niran,woman
nanran,man
ran,human
haydza,child
lawpo,wife
lawgon,husband
mama,mother
baba,father
dunwu,animal
yi,fish
nyaw,bird
go,dog
ca,louse
ca,snake
tcyoyin,worm
cu,tree
sanlin,forest
cudja,stick
cweygwo,fruit
djundza,seed
ye,leaf
gan,root
cupi,bark
hwa,flower
tsaw,grass
can,rope
pi,skin
row,meat
cye,blood
gu,bone
djifan,fat
dan,egg
djyaw,horn
wey,tail
yimaw,feather
tofa,hair
tow,head
ardwo,ear
yendjin,eye
bi,nose
dzwe,mouth
yatci,tooth
ca,tongue
djidjya,fingernail
djyaw,foot
twe,leg
ci,knee
cow,hand
tciban,wing
dudza,belly
tcandza,guts
bodza,neck
bey,back
cyonbu,breast
cindzan,heart
gan,liver
ha,drink
tca,eat
yaw,bite
tcwo,suck
tu,spit
tu,vomit
tcwe,blow
huci,breathe
cyaw,laugh
kan,see
tin,hear
djidaw,know
cyan,think
wan,smell
pa,fear
cwey,sleep
hwo,live
sa,die
ca,kill
dadjya,fight
dalye,hunt
da,hit
tcye,cut
fankay,split
tsa,stab
djwa,scratch
wa,dig
yoyon,swim
fey,fly
dzow,walk
lay,come
tan,liedown
dzwo,sit
djan,stand
djwan,turn
lwocya,fall
gey,give
na,hold
dji,squeeze
row,rub
ci,wash
tsa,wipe
la,pull
twey,push
ran,throw
ban,tie
fan,sew
cu,count
cwo,say
tcan,sing
wan,play
fu,float
lyo,flow
dondjye,freeze
pondjan,swell
tayan,sun
yelyan,moon
cin,star
cwey,water
yi,rain
ha,river
hu,lake
hay,sea
yen,salt
ca,stone
ca,sand
tcantu,dust
ditcyow,earth
yin,cloud
wu,fog
tyen,sky
fon,wind
cye,snow
bin,ice
yen,smoke
hwo,fire
hweydjin,ashes
caw,burn
lu,road
can,mountain
hun,red
li,green
hwan,yellow
bay,white
hey,black
yewan,night
baytyen,day
nyen,year
wanwan,warm
lan,cold
man,full
cin,new
law,old
haw,good
hway,bad
lan,rotten
dzan,dirty
dja,straight
yen,round
li,sharp
dun,dull
gwanhwa,smooth
ca,wet
gan,dry
dwe,correct
djin,near
yen,far
yo,right
dzwo,left
dzay,at
dzayli,in
gan,with
ha,and
rugwo,if
yinwey,because
tcyen,before
how,after
can,above
cya,below
tson,from
da,of
kaca,but
mindza,name
ta,she
tca,car
tsaswo,washroom
cu,number
djya,house
djya,home
tcucan,born
yidja,heal
dapwo,break
djyenca,build
ku,weep
dawnyen,mourn
tyawu,dance
cowdji,gather
yonbaw,hug
bimyen,refrain
catci,lose
bawtca,keep
sa,tear
ay,love
han,hate
djon,toplant
tcanmo,silence
djandjan,war
hapin,peace
djawu,plant
ca,yes
bu,no
dja,paper
dyenhwa,telephone
ran,person
tcwan,bed
tcwanhu,window
djya,shelf
djwodza,desk
yingay,should
ciyaw,need
diban,floor
djindza,mirror
cwetsaw,sink
iyan,same
cyecye,thankyou
tcumo,feel
dwo,more
caw,less
ca,try
djiyo,only
roni,easy
cu,book
buyiyan,different
du,read
gaybyen,change
gundji,tool
minbay,understand
cye,write
yentcen,circle
man,door
gwan,light
canin,sound
djwodza,table
djanfancin,square
sandjyaw,triangle
cawu,food
tcin,please
dwebutci,sorry
cihwan,like
kway,fast
panbyen,beside
tcyan,strong
dan,wait
naga,the
may,buy
lan,blue
dzu,group
ifu,clothes
tcyen,money
kon,hole
ca,silly
wan,finish
hwa,draw
fanyi,translate
bay,hundred
tcyen,thousand
may,sell
djya,add
tcutci,remove
tuhwa,picture
lini,shower
ditan,carpet
tcoti,drawer
bitcu,closet
djintyen,today
dzwotyen,yesterday
mintyen,tomorrow
cyondidjyemey,sibling
tcin,parent
cyandji,camera
dzwotsay,cook
tcwan,wear
dwocaw,howmuch
cyendzay,now
tcan,taste
tcumo,touch
tay,too
ye,also
bey,north
nan,south
don,east
ci,west
tcyen,forward
how,backward
nay,milk
dji,chicken
maw,cat
dacan,loud
tyentci,weather
dyendzayodjyen,email
wan,internet
beydza,cup
pandza,plate
wan,bowl
tcadza,fork
cawdza,spoon
kwaydza,chopstick
bi,than
dzay,again
,thats
dzwe,most
wanti,problem
djyeda,solution
wan,ask
hweda,answer
swoyi,so
bandju,help
djida,remember
yidza,chair
djacye,these
nacye,those
ma,?
djaw,search
payci,sort
paydwe,queue
rwandjyen,software
indon,exercise
fandjon,minute
cyawca,hour
myawdjon,second
man,slow
yeci,maybe
gondzwo,work
incin,function
gwedza,rule
canti,body
inwan,english
lidza,example
tada,his
tada,her
tamada,their
womanda,our
nida,your
nimanda,yours
woda,my
yodyen,kinda
djonwan,chinese
cibanya,spanish
indu,hindi
alabo,arabic
a,russian
hwecow,recycle
yidjin,already
djow,week
rwo,weak
fandjyen,room
djonyaw,important
hadza,box
nan,difficult
cyan,as
