istemal,use
ho,be
pa,get
tcah,want
bana,make
bhaca,language
atmiy,cognate
ya,or
ko,to
sikh,learn
sanganak,computer
kar,do
sak,able
tciz,thing
par,must
dja,go
samay,time
djagah,place
mitra,friend
pas,have
cabd,word
tukra,piece
kyo,why
namaste,hi
alvida,bye
tcheh,six
sat,seven
ath,eight
no,nine
das,ten
cunya,zero
me,i
tum,you
vah,he
ham,we
ap,youall
ve,they
yah,this
vah,that
yaha,here
vaha,there
kon,who
kya,what
kaha,where
kab,when
kesa,how
nahi,not
sab,all
bahut,many
kutc,some
thora,few
dusra,other
ek,one
do,two
tin,three
tcar,four
patc,five
bara,big
lamba,long
tcora,wide
mota,thick
bhari,heavy
tchota,small
nata,short
tang,narrow
patla,thin
orat,woman
admi,man
vyakti,human
batca,child
patni,wife
pati,husband
ma,mother
pita,father
djanvar,animal
matchli,fish
tciriya,bird
kuta,dog
dju,louse
sap,snake
kira,worm
per,tree
djangal,forest
dandal,stick
phal,fruit
bidj,seed
pata,leaf
djar,root
tchal,bark
phul,flower
ghas,grass
rasi,rope
tvatca,skin
mas,meat
hun,blood
hadi,bone
tcarbi,fat
anda,egg
sig,horn
putch,tail
pankh,feather
bal,hair
sar,head
kan,ear
akh,eye
nak,nose
muh,mouth
dat,tooth
djibh,tongue
nahun,fingernail
per,foot
tang,leg
ghutna,knee
hath,hand
pakh,wing
pet,belly
antari,guts
gardan,neck
pith,back
tchati,breast
dil,heart
yakrt,liver
pi,drink
kha,eat
kat,bite
tcus,suck
thuk,spit
ulti,vomit
phuk,blow
sas,breathe
has,laugh
dekh,see
sun,hear
djan,know
sotc,think
sugh,smell
dar,fear
so,sleep
dji,live
mar,die
mar,kill
lar,fight
cikar,hunt
mar,hit
kat,cut
bant,split
bhonk,stab
kharotc,scratch
khod,dig
ter,swim
ur,fly
tcal,walk
a,come
let,liedown
beth,sit
khara,stand
mur,turn
gir,fall
de,give
pakar,hold
ghusa,squeeze
mal,rub
dho,wash
pontch,wipe
khitc,pull
dhaka,push
phenk,throw
badh,tie
si,sew
gin,count
kah,say
ga,sing
khel,play
ter,float
bah,flow
djam,freeze
sudj,swell
suradj,sun
tcad,moon
tara,star
pani,water
baris,rain
nadi,river
djhil,lake
samandar,sea
namak,salt
pathar,stone
ret,sand
dhul,dust
dharti,earth
badal,cloud
dhundh,fog
asman,sky
hava,wind
barf,snow
barf,ice
dhua,smoke
ag,fire
rakh,ashes
djal,burn
sarak,road
pahar,mountain
lal,red
hara,green
pila,yellow
safed,white
kala,black
rat,night
din,day
sal,year
garm,warm
thanda,cold
pura,full
naya,new
purana,old
atcha,good
bura,bad
sara,rotten
ganda,dirty
sidha,straight
gol,round
tikha,sharp
kund,dull
tcikna,smooth
gila,wet
sukha,dry
sahi,correct
nazdik,near
dur,far
dahina,right
baya,left
pe,at
me,in
sath,with
or,and
agar,if
kyonki,because
pahle,before
bad,after
upar,above
nitce,below
se,from
ka,of
lekin,but
nam,name
vah,she
gari,car
cotcalay,washroom
sankhya,number
ghar,house
ghar,home
djanma,born
tcanga,heal
tut,break
bana,build
ro,weep
ro,mourn
natc,dance
ikatha,gather
alingan,hug
parhedj,refrain
kho,lose
rakh,keep
tor,tear
prem,love
ghrna,hate
rop,toplant
hamoc,silence
yudh,war
canti,peace
podha,plant
ha,yes
nahi,no
kagaz,paper
durbhas,telephone
vyakti,person
palang,bed
khirki,window
takhta,shelf
desk,desk
tcahie,should
zarurat,need
farc,floor
darpan,mirror
sink,sink
vahi,same
dhanyavad,thankyou
masus,feel
djyada,more
kam,less
kocic,try
sirf,only
asan,easy
pustak,book
alag,different
parh,read
badal,change
upakran,tool
samadjh,understand
likh,write
tcakra,circle
darvaza,door
prakac,light
avaz,sound
mez,table
varg,square
trikon,triangle
khana,food
krpya,please
maf,sorry
pasand,like
djaldi,fast
bagal,beside
madjabut,strong
intazar,wait
,the
harid,buy
nila,blue
samuh,group
kapre,clothes
pesa,money
tched,hole
murkh,silly
anta,finish
tcitrabana,draw
anuvad,translate
so,hundred
hazar,thousand
betc,sell
djor,add
hata,remove
tcitra,picture
cavar,shower
galitca,carpet
daraz,drawer
kothari,closet
adj,today
kal,yesterday
kal,tomorrow
sahodar,sibling
matapita,parent
kemra,camera
pakana,cook
pahan,wear
kitna,howmuch
ab,now
svad,taste
tcu,touch
bahut,too
bhi,also
utar,north
daksin,south
purva,east
pactcim,west
age,forward
pitche,backward
dudh,milk
murga,chicken
bili,cat
djor,loud
mosam,weather
imel,email
intarnet,internet
pyala,cup
plet,plate
katora,bowl
kata,fork
tcamatc,spoon
kata,chopstick
se,than
phir,again
ki,thats
sabse,most
samasya,problem
upay,solution
putch,ask
djavab,answer
to,so
madad,help
yad,remember
kursi,chair
ye,these
ve,those
kya,?
khodj,search
suladjha,sort
katar,queue
softveyar,software
vyayam,exercise
minat,minute
ghanta,hour
sekand,second
dhima,slow
cayad,maybe
kam,work
tcal,function
radj,rule
carir,body
angrezi,english
udahran,example
uska,his
uska,her
unka,their
hamara,our
tumhara,your
apka,yours
mera,my
thore,kinda
tcini,chinese
spenic,spanish
hindi,hindi
arbi,arabic
rusi,russian
punartcakran,recycle
pahlehi,already
saptah,week
durbal,weak
kamra,room
mahatvapurn,important
diba,box
kathin,difficult
tarah,as
