potrebi,use
bi,be
dostava,get
hote,want
dela,make
yazik,language
kognat,cognate
ili,or
na,to
utci,learn
kampyutir,computer
dela,do
motc,able
vec,thing
dolji,must
id,go
vremya,time
mesta,place
druk,friend
ime,have
slova,word
kusok,piece
patcimu,why
privet,hi
paka,bye
cest,six
sem,seven
vosim,eight
devit,nine
desit,ten
nul,zero
ya,i
ti,you
on,he
mi,we
vi,youall
ani,they
eta,this
to,that
zdes,here
tam,there
kto,who
cto,what
gde,where
kagda,when
kak,how
ne,not
fse,all
mnogi,many
neskalka,some
nimnogi,few
drugoy,other
adin,one
dva,two
tri,three
tcitiri,four
pyat,five
balcoy,big
dlini,long
ciroki,wide
tolsti,thick
tijoli,heavy
malinki,small
karotki,short
uski,narrow
tonki,thin
jencina,woman
mucina,man
tcilavek,human
dita,child
jina,wife
muj,husband
mama,mother
atets,father
jivotna,animal
riba,fish
ptitsa,bird
pyos,dog
voc,louse
zmiya,snake
tcerv,worm
deriva,tree
lyes,forest
palka,stick
plot,fruit
semya,seed
list,leaf
korin,root
kara,bark
tsvitok,flower
trava,grass
virofka,rope
koza,skin
masa,meat
krof,blood
kost,bone
jir,fat
yiytso,egg
rok,horn
hvost,tail
piro,feather
volasi,hair
galava,head
uha,ear
glas,eye
nos,nose
rot,mouth
zup,tooth
yizik,tongue
nogat,fingernail
stapa,foot
naga,leg
kalena,knee
ruka,hand
krilo,wing
jivot,belly
kicki,guts
ceya,neck
spina,back
grut,breast
sertsi,heart
petcin,liver
pit,drink
yes,eat
kusa,bite
sasa,suck
pliva,spit
bliva,vomit
dut,blow
dica,breathe
smiya,laugh
vide,see
slica,hear
zna,know
duma,think
tcuya,smell
baya,fear
spa,sleep
ji,live
umira,die
ubiva,kill
baro,fight
ahoti,hunt
udari,hit
rezat,cut
razdili,split
kalo,stab
tsarapa,scratch
ri,dig
plava,swim
lita,fly
id,walk
pri,come
liza,liedown
side,sit
staya,stand
vraca,turn
pada,fall
da,give
dirja,hold
ja,squeeze
tire,rub
mi,wash
vitira,wipe
tinu,pull
pihu,push
brasa,throw
viza,tie
ci,sew
cita,count
skaza,say
pe,sing
igra,play
pli,float
tetc,flow
zamorznu,freeze
puhnu,swell
sontsa,sun
luna,moon
zvizda,star
vada,water
doct,rain
rika,river
ozira,lake
mori,sea
sol,salt
kamin,stone
pisok,sand
pil,dust
zimla,earth
oblaka,cloud
tuman,fog
neba,sky
vetir,wind
snek,snow
lot,ice
dim,smoke
agon,fire
pepil,ashes
jetc,burn
put,road
gara,mountain
krasni,red
ziloni,green
jolti,yellow
beli,white
tcorni,black
notc,night
den,day
got,year
tyopli,warm
halodni,cold
polni,full
novi,new
stari,old
horoci,good
plohoy,bad
gniloy,rotten
grazni,dirty
primoy,straight
krugli,round
ostri,sharp
tupoy,dull
glatki,smooth
mokri,wet
suhoy,dry
pravilni,correct
bliski,near
dalyoki,far
pravi,right
levi,left
u,at
v,in
s,with
i,and
yesli,if
patamucta,because
do,before
posle,after
nad,above
pod,below
iz,from
,of
no,but
ima,name
ana,she
macina,car
tualet,washroom
tcislo,number
dom,house
dom,home
radi,born
litci,heal
razbi,break
stroi,build
plaka,weep
gariva,mourn
tantsa,dance
sobira,gather
obnima,hug
vazdirja,refrain
tira,lose
derja,keep
rva,tear
lyubi,love
ninavidi,hate
saja,toplant
ticina,silence
vayna,war
mir,peace
rasteniye,plant
da,yes
nyet,no
bumaga,paper
telefon,telephone
tcilavek,person
kravat,bed
akno,window
polka,shelf
stolpismini,desk
doljin,should
nujda,need
pol,floor
zerkala,mirror
umivalnik,sink
taje,same
spasiba,thankyou
tcustva,feel
bolci,more
menci,less
pitay,try
tolka,only
lyohki,easy
kniga,book
drugoy,different
tcita,read
izmini,change
instrumyent,tool
panima,understand
pisa,write
kruk,circle
dver,door
svet,light
zvuk,sound
stol,table
kvadrat,square
triugolnik,triangle
yida,food
pajalusta,please
izvinit,sorry
nravitsa,like
bistra,fast
radam,beside
silni,strong
jda,wait
,the
kupi,buy
sini,blue
grupa,group
adejda,clothes
dengi,money
dira,hole
glupi,silly
kontci,finish
risava,draw
pirivadi,translate
sto,hundred
tisitca,thousand
prada,sell
dabavi,add
vitci,remove
kartina,picture
duc,shower
kavor,carpet
yacik,drawer
ckaf,closet
sivodna,today
ftcira,yesterday
zaftra,tomorrow
siblink,sibling
raditil,parent
kamira,camera
gatovi,cook
nasi,wear
skolka,howmuch
cas,now
probava,taste
troga,touch
slickam,too
toji,also
sevir,north
yuk,south
vastok,east
zapat,west
fpirot,forward
nazat,backward
malako,milk
kuritsa,chicken
kot,cat
gromki,loud
pagoda,weather
imeyl,email
intirnet,internet
tcacka,cup
tarelka,plate
miska,bowl
vilka,fork
locka,spoon
palatcka,chopstick
tcem,than
snova,again
cto,thats
nay,most
prablema,problem
ricenye,solution
sprasi,ask
atveti,answer
takcto,so
pamag,help
pomni,remember
stul,chair
eti,these
tye,those
li,?
iska,search
sartirava,sort
otcirit,queue
pragram,software
uprajn,exercise
minuta,minute
tcas,hour
sikunda,second
medliniy,slow
mojidbit,maybe
rabota,work
rabota,function
pravila,rule
tela,body
angliski,english
primer,example
yivo,his
yiyo,her
yih,their
nac,our
tvoy,your
vac,yours
moy,my
vrode,kinda
kitayski,chinese
ispanski,spanish
hindi,hindi
arapski,arabic
ruskiy,russian
pirirabota,recycle
uje,already
nidela,week
slabi,weak
komnata,room
vajni,important
karopka,box
trudni,difficult
kak,as
