usa,use
esta,be
konsegi,get
kere,want
ase,make
lengwa,language
kognado,cognate
o,or
a,to
aprende,learn
komputador,computer
ase,do
pode,able
kosa,thing
debe,must
va,go
tyempo,time
lugar,place
amigo,friend
tene,have
palabra,word
pedazo,piece
porke,why
ola,hi
adyos,bye
seis,six
syete,seven
otco,eight
nweve,nine
dyes,ten
sero,zero
yo,i
tu,you
el,he
nosotros,we
vosotros,youall
eyos,they
este,this
ese,that
aki,here
ai,there
kyen,who
ke,what
donde,where
kwando,when
komo,how
no,not
todo,all
mutcos,many
algunos,some
poko,few
otro,other
uno,one
dos,two
tres,three
kwatro,four
sinko,five
grande,big
largo,long
antco,wide
grweso,thick
pesado,heavy
pekenyo,small
korto,short
estretco,narrow
delgado,thin
muher,woman
ombre,man
ombre,human
ninyo,child
muher,wife
marido,husband
madre,mother
padre,father
animal,animal
pez,fish
paharo,bird
pero,dog
pyoho,louse
serpyente,snake
gusano,worm
arbol,tree
boske,forest
palo,stick
fruta,fruit
semiya,seed
oha,leaf
rais,root
kortesa,bark
flor,flower
herba,grass
kwerda,rope
pyel,skin
karne,meat
sangre,blood
weso,bone
grasa,fat
wevo,egg
kwerno,horn
kola,tail
pluma,feather
kabeyo,hair
kabesa,head
oreha,ear
oho,eye
naris,nose
boka,mouth
dyente,tooth
lengwa,tongue
unya,fingernail
pye,foot
pyerna,leg
rodiya,knee
mano,hand
ala,wing
bariga,belly
tripas,guts
kweyo,neck
espalda,back
petco,breast
korason,heart
igado,liver
bebe,drink
kome,eat
morde,bite
tcupa,suck
eskupi,spit
vomita,vomit
sopla,blow
respira,breathe
rei,laugh
ve,see
oy,hear
sabe,know
pensa,think
ole,smell
teme,fear
dormi,sleep
vivi,live
mori,die
mata,kill
pelea,fight
kaza,hunt
golpea,hit
korta,cut
parti,split
apunyala,stab
raska,scratch
kava,dig
nada,swim
bola,fly
kamina,walk
veni,come
yase,liedown
senta,sit
levanta,stand
hira,turn
kae,fall
da,give
tene,hold
apreta,squeeze
frota,rub
lava,wash
limpya,wipe
hala,pull
empuha,push
tira,throw
ata,tie
kose,sew
konta,count
desi,say
kanta,sing
huga,play
flota,float
flui,flow
ela,freeze
intca,swell
sol,sun
luna,moon
estreya,star
agwa,water
yuvya,rain
rio,river
lago,lake
mar,sea
sal,salt
pyedra,stone
arena,sand
polvo,dust
tyera,earth
nube,cloud
nyebla,fog
syelo,sky
vyento,wind
nyebe,snow
yelo,ice
umo,smoke
fwego,fire
senisas,ashes
kema,burn
kamino,road
montanya,mountain
roho,red
verde,green
amariyo,yellow
blanko,white
negro,black
notce,night
dia,day
anyo,year
kalido,warm
frio,cold
yeno,full
nwevo,new
vyeho,old
bweno,good
malo,bad
podrido,rotten
susyo,dirty
rekto,straight
redondo,round
agudo,sharp
embotado,dull
liso,smooth
mohado,wet
seko,dry
korekto,correct
serka,near
lehos,far
deretca,right
iskyerda,left
a,at
en,in
kon,with
i,and
si,if
porke,because
antes,before
despwes,after
ensima,above
baho,below
de,from
de,of
pero,but
nombre,name
eya,she
kotce,car
banyo,washroom
numero,number
kasa,house
ogar,home
nase,born
kura,heal
rompe,break
konstrui,build
yora,weep
lamenta,mourn
bayla,dance
hunta,gather
abrasa,hug
abstene,refrain
perde,lose
garda,keep
rasga,tear
ama,love
odya,hate
planta,toplant
silensyo,silence
gera,war
pas,peace
planta,plant
si,yes
no,no
papel,paper
telefono,telephone
persona,person
kama,bed
ventana,window
estanteria,shelf
eskritorio,desk
deberia,should
nesesita,need
piso,floor
espeho,mirror
fregadero,sink
mizmo,same
grasyas,thankyou
senti,feel
mas,more
menos,less
trata,try
solo,only
fasil,easy
libro,book
diferente,different
le,read
kambya,change
eramyenta,tool
entende,understand
eskribi,write
sirculo,circle
pwerta,door
lus,light
sonido,sound
mesa,table
kwadro,square
triangulo,triangle
komida,food
favor,please
losyento,sorry
gusta,like
rapidamente,fast
lado,beside
fwerte,strong
espera,wait
lo,the
kompra,buy
asul,blue
grupo,group
ropa,clothes
dinero,money
oyo,hole
ninyito,silly
termina,finish
dibuha,draw
tradusi,translate
syento,hundred
mil,thousand
bende,sell
anyadi,add
kita,remove
imahen,picture
dutca,shower
alfombra,carpet
kahon,drawer
armaryo,closet
oy,today
ayer,yesterday
manyana,tomorrow
ermano,sibling
padre,parent
kamara,camera
kosina,cook
yeva,wear
kwanto,howmuch
aora,now
gusta,taste
toka,touch
demasyado,too
tambyen,also
norte,north
sur,south
este,east
oeste,west
adelante,forward
atras,backward
letce,milk
poyo,chicken
gato,cat
fwerte,loud
tyempo,weather
koreo,email
internet,internet
tasa,cup
plato,plate
bol,bowl
tenedor,fork
kutcara,spoon
paliyo,chopstick
ke,than
denwevo,again
ke,thats
mas,most
problema,problem
solusyon,solution
pregunta,ask
responde,answer
asike,so
ayuda,help
rekwerda,remember
siya,chair
estos,these
esos,those
berdad,?
buska,search
ordena,sort
fila,queue
softwer,software
ehersisyo,exercise
minuto,minute
ora,hour
segundo,second
lento,slow
kisa,maybe
trabaha,work
funksyona,function
regla,rule
kwerpo,body
ingles,english
ehemplo,example
su,his
su,her
su,their
nwestro,our
tu,your
vwestro,yours
mi,my
poko,kinda
tcino,chinese
espanyol,spanish
indi,hindi
arabe,arabic
ruso,russian
resikla,recycle
ya,already
semana,week
debil,weak
kwarto,room
importante,important
kaha,box
difisil,difficult
komo,as
