yusas,use
castah,be
hwokop,get
yaket,want
djibad,make
yuleb,language
tokot,cognate
hwoyal,or
dakol,to
cwepres,learn
dyekos,computer
dzwosek,do
napos,able
dokot,thing
bidel,must
tcivar,go
catyew,time
dilud,place
pamis,friend
yotep,have
tsapak,word
kwapet,piece
wepok,why
nilah,hi
dzadyol,bye
lyoset,six
tcisye,seven
batcot,eight
djyonwen,nine
cadyed,ten
lisen,zero
woyom,i
nitun,you
talvah,he
wonoh,we
nivop,youall
tayov,they
djestey,this
nasev,that
djekiy,here
navah,there
cekyek,who
cakek,what
nadok,where
cakwak,when
dzako,how
buno,not
swotos,all
dwomub,many
djilgun,some
capot,few
tcitrod,other
yinok,one
rdotned,two
satret,three
sakwat,four
wusip,five
dagrab,big
tcalat,long
kwantco,wide
hogrwem,thick
djupeb,heavy
cyapet,small
dwakon,short
djastret,narrow
bader,thin
niras,woman
nambred,man
rambrev,human
hanib,child
lamup,wife
lamap,husband
ma,mother
bate,father
dunid,animal
yipem,fish
nyapat,bird
gopep,dog
capyod,louse
cahaz,snake
tcyogud,worm
curbod,tree
sabod,forest
cupad,stick
cwefrup,fruit
djubi,seed
yehap,leaf
garad,root
cukot,bark
hwaflop,flower
tsaheg,grass
cakwer,rope
pipyet,skin
rokam,meat
cyesah,blood
guweh,bone
djigrad,fat
dawen,egg
djyakwes,horn
wekop,tail
yiplup,feather
tokab,hair
tokas,head
rdworek,ear
yehok,eye
bina,nose
dzwebom,mouth
yadyed,tooth
caled,tongue
djinyan,fingernail
djyapyep,foot
twepyet,leg
cirog,knee
comah,hand
tcilap,wing
dubaj,belly
tcatrin,guts
bokweg,neck
bespad,back
cyopet,breast
cikod,heart
gayap,liver
habec,drink
tcakok,eat
yamok,bite
tcwotcum,suck
tuskut,spit
tuvol,vomit
tcwesop,blow
hures,breathe
cyareh,laugh
kaved,see
tiysus,hear
djirez,know
cyapes,think
wales,smell
pateh,fear
cwedos,sleep
hwovid,live
samo,die
camaq,kill
dapel,fight
dakac,hunt
dagom,hit
tcyekor,cut
fapac,split
tsapub,stab
djwarak,scratch
wakak,dig
yonat,swim
febor,fly
dzokam,walk
laveg,come
tayal,liedown
dzwoseb,sit
djalek,stand
djwahim,turn
lwokap,fall
geda,give
natep,hold
djipreg,squeeze
rofrom,rub
cilad,wash
tsalip,wipe
lahak,pull
twempud,push
ratip,throw
batar,tie
fakos,sew
cukod,count
cwodek,say
tcakap,sing
wahuk,play
fuflot,float
lyoflub,flow
dolad,freeze
pontcaw,swell
taso,sun
yelut,moon
cistret,star
cwegwap,water
yibam,rain
harin,river
hulad,lake
hamas,sea
yesan,salt
capyep,stone
carep,sand
tcapod,dust
dityed,earth
yinub,cloud
wunyed,fog
tyesyes,sky
fovyeh,wind
cyenyeb,snow
biyet,ice
yemod,smoke
hwofweg,fire
hweser,ashes
caked,burn
lukas,road
camop,mountain
huroh,red
liveh,green
hwamap,yellow
bablas,white
henek,black
yenor,night
badiy,day
nyesag,year
wakad,warm
lafrit,cold
mayep,full
cinwen,new
lavyep,old
habwet,good
hwamab,bad
lapos,rotten
dzagaw,dirty
djared,straight
yereg,round
ligut,sharp
dumbok,dull
gwalit,smooth
camog,wet
gasen,dry
dwekos,correct
djinaq,near
yeled,far
yodep,right
dzwoskyeb,left
dzapen,at
dzanmef,in
gasam,with
harwe,and
rusig,if
yipok,because
mism,name
tayav,she
tcakor,car
tsabam,washroom
cunud,number
djyakag,house
djyagag,home
tcunat,born
yikut,heal
darok,break
djyekob,build
kuyor,weep
dalan,mourn
tyaban,dance
cohuk,gather
yobran,hug
bibstem,refrain
capek,lose
bagar,keep
sarat,tear
ymapreh,love
hadyag,hate
djopla,toplant
tcahat,silence
djagey,war
hapac,peace
djaplap,plant
cahay,yes
bunol,no
djapak,paper
dyeteh,telephone
rapev,person
tcwakap,bed
tcwavek,window
djyastar,shelf
djwoskrid,desk
yidet,should
cineh,need
dipif,floor
djisped,mirror
cwefres,sink
yamiv,same
cyegrad,thankyou
tcuma,feel
tcyentep,before
hodeb,after
cansip,above
cyaban,below
dwomad,more
camek,less
catrak,try
djifat,only
tsodem,from
rofas,easy
culip,book
budil,different
dulep,read
daka,of
kapel,but
gabaz,change
gurap,tool
mintes,understand
cyeskrik,write
yesit,circle
mapwed,door
gwalup,light
cavaz,sound
djwomet,table
djakwav,square
satrim,triangle
cakok,food
tcifak,please
dwelom,sorry
cigup,like
kwarad,fast
palag,beside
tcyafwem,strong
daspen,wait
nalo,the
makoh,buy
lasun,blue
dzugrum,group
furok,clothes
tcyedip,money
koyot,hole
waten,finish
hwadit,draw
fatran,translate
basyes,hundred
tcyemih,thousand
mabep,sell
djyanyad,add
tcukih,remove
tumat,picture
liduc,shower
dilfog,carpet
tcokad,drawer
birmak,closet
djiyna,today
dzwoyek,yesterday
mikab,tomorrow
cyormas,sibling
tcipam,parent
cyaka,camera
dzwokop,cook
tcwayep,wear
dwokwak,howmuch
cyebdic,now
tcagus,taste
tcutot,touch
tabam,too
yetab,also
benot,north
nasud,south
dostep,east
cipag,west
tcyedeg,forward
hotrap,backward
naled,milk
djipom,chicken
magab,cat
dafwed,loud
tyemot,weather
dyekom,email
wante,internet
betap,cup
paplat,plate
wabok,bowl
tcatek,fork
cakut,spoon
kwapak,chopstick
bikes,than
dzadep,again
kencto,thats
dzwemas,most
wapros,problem
djyesop,solution
waprep,ask
hwered,answer
swosit,so
bayum,help
djirey,remember
yisik,chair
djastoy,these
nasov,those
mabek,?
djabuk,search
pardes,sort
pafik,queue
rwasob,software
ndohev,exercise
famid,minute
cyarag,hour
myase,second
maled,slow
yekic,maybe
gotrac,work
ncifut,function
gwereq,rule
cakweb,body
